fold,model,valid_rows,MAE,RMSE,WAPE,sMAPE,MASE
1,naive_lag_1h,720,0.4014,0.5864,0.4156,0.4142,0.677
1,naive_lag_24h_daily,720,0.5163,0.7186,0.5345,0.5157,0.8708
1,naive_lag_168h_weekly,720,0.4797,0.6781,0.4966,0.4835,0.809
2,naive_lag_1h,720,0.3086,0.4732,0.409,0.3707,0.5226
2,naive_lag_24h_daily,720,0.4543,0.6424,0.602,0.5225,0.7693
2,naive_lag_168h_weekly,720,0.5067,0.7022,0.6714,0.5912,0.858
3,naive_lag_1h,601,0.2013,0.3477,0.3872,0.3129,0.3389
3,naive_lag_24h_daily,601,0.2103,0.4288,0.4045,0.2864,0.3541
3,naive_lag_168h_weekly,601,0.3565,0.5622,0.6855,0.5277,0.6001
4,naive_lag_1h,654,0.4204,0.5782,0.4402,0.4504,0.7169
4,naive_lag_24h_daily,654,0.4885,0.6853,0.5115,0.5176,0.8329
4,naive_lag_168h_weekly,654,0.5458,0.7591,0.5716,0.5728,0.9308
5,naive_lag_1h,699,0.489,0.7027,0.4188,0.414,0.8368
5,naive_lag_24h_daily,699,0.6347,0.8962,0.5435,0.5316,1.0861
5,naive_lag_168h_weekly,699,0.6817,0.9649,0.5838,0.582,1.1665
6,naive_lag_1h,720,0.4597,0.6883,0.3891,0.3873,0.7893
6,naive_lag_24h_daily,720,0.6158,0.9175,0.5212,0.4991,1.0572
6,naive_lag_168h_weekly,720,0.7062,0.993,0.5977,0.5779,1.2124
