,gain_mean
Global_active_power_lag_1h,0.25254
Global_active_power_roll_max_3h,0.0698724
hour_cos,0.04626763
month_cos,0.042255584
hour,0.040859673
hour_sin,0.037359502
Global_active_power_lag_168h,0.034715936
is_weekend,0.026603974
Global_active_power_lag_24h,0.026217712
Global_active_power_roll_std_168h,0.026034385
Global_active_power_roll_max_168h,0.02553323
is_french_holiday,0.025485255
Global_active_power_roll_mean_3h,0.024750302
Global_active_power_roll_min_3h,0.023967497
Global_active_power_roll_max_24h,0.02252913
Global_active_power_roll_mean_168h,0.021091044
day_of_week_sin,0.020902611
Global_active_power_roll_std_24h,0.020108718
Global_active_power_roll_mean_24h,0.020073518
day_of_year,0.02003288
Global_active_power_roll_min_24h,0.019504992
Global_active_power_roll_min_168h,0.019481666
month,0.019157542
day_of_week_cos,0.018395716
month_sin,0.018368006
Global_active_power_roll_std_3h,0.018143898
day_of_week,0.017229872
day_of_month,0.012754138
is_outage_gap,0.011272977
is_originally_missing,0.010954135
quarter,0.007536096
