,gain_mean
Global_active_power_lag_1h,0.2594546
hour_cos,0.053534463
hour_sin,0.037726883
Global_active_power_roll_max_3h,0.035896894
Global_active_power_lag_168h,0.031980176
hour,0.031579774
is_weekend,0.028895142
month_cos,0.02716712
is_french_holiday,0.02553297
Global_active_power_lag_24h,0.02486299
Global_active_power_roll_max_168h,0.024402663
Global_active_power_roll_std_168h,0.02204133
Global_active_power_roll_mean_3h,0.021461109
Global_active_power_roll_min_3h,0.020968208
Global_active_power_roll_max_24h,0.020678319
temp_c,0.020536214
Global_active_power_roll_mean_24h,0.019781863
temp_lag_24h_c,0.01977564
Global_active_power_roll_std_24h,0.019134764
day_of_week_sin,0.01899823
Global_active_power_roll_min_24h,0.018753102
Global_active_power_roll_min_168h,0.018704077
Global_active_power_roll_mean_168h,0.018423656
rhum_pct,0.018045897
month_sin,0.017829942
day_of_week_cos,0.0172543
quarter,0.017002465
day_of_year,0.016802957
Global_active_power_roll_std_3h,0.016476104
day_of_week,0.015900718
month,0.015411892
wspd_kmh,0.014303636
day_of_month,0.010873638
is_outage_gap,0.010429663
is_originally_missing,0.0093786
